RecNum	DateTime	KAUST_LT_Tank2-S33.5B
1	07/26/19 06:00:00 PM	28.853
2	07/26/19 06:05:00 PM	28.853
3	07/26/19 06:10:00 PM	28.953
4	07/26/19 06:15:00 PM	28.953
5	07/26/19 06:20:00 PM	28.953
6	07/26/19 06:25:00 PM	29.053
7	07/26/19 06:30:00 PM	29.053
8	07/26/19 06:35:00 PM	29.053
9	07/26/19 06:40:00 PM	29.053
10	07/26/19 06:45:00 PM	29.053
11	07/26/19 06:50:00 PM	29.152
12	07/26/19 06:55:00 PM	29.152
13	07/26/19 07:00:00 PM	29.152
14	07/26/19 07:05:00 PM	29.152
15	07/26/19 07:10:00 PM	29.152
16	07/26/19 07:15:00 PM	29.152
17	07/26/19 07:20:00 PM	29.152
18	07/26/19 07:25:00 PM	29.152
19	07/26/19 07:30:00 PM	29.252
20	07/26/19 07:35:00 PM	29.252
21	07/26/19 07:40:00 PM	29.252
22	07/26/19 07:45:00 PM	29.252
23	07/26/19 07:50:00 PM	29.252
24	07/26/19 07:55:00 PM	29.252
25	07/26/19 08:00:00 PM	29.152
26	07/26/19 08:05:00 PM	29.152
27	07/26/19 08:10:00 PM	29.252
28	07/26/19 08:15:00 PM	29.252
29	07/26/19 08:20:00 PM	29.252
30	07/26/19 08:25:00 PM	29.352
31	07/26/19 08:30:00 PM	29.252
32	07/26/19 08:35:00 PM	29.252
33	07/26/19 08:40:00 PM	29.252
34	07/26/19 08:45:00 PM	29.252
35	07/26/19 08:50:00 PM	29.252
36	07/26/19 08:55:00 PM	29.252
37	07/26/19 09:00:00 PM	29.252
38	07/26/19 09:05:00 PM	29.352
39	07/26/19 09:10:00 PM	29.252
40	07/26/19 09:15:00 PM	29.252
41	07/26/19 09:20:00 PM	29.252
42	07/26/19 09:25:00 PM	29.352
43	07/26/19 09:30:00 PM	29.352
44	07/26/19 09:35:00 PM	29.252
45	07/26/19 09:40:00 PM	29.252
46	07/26/19 09:45:00 PM	29.352
47	07/26/19 09:50:00 PM	29.352
48	07/26/19 09:55:00 PM	29.252
49	07/26/19 10:00:00 PM	29.252
50	07/26/19 10:05:00 PM	29.252
51	07/26/19 10:10:00 PM	29.352
52	07/26/19 10:15:00 PM	29.352
53	07/26/19 10:20:00 PM	29.352
54	07/26/19 10:25:00 PM	29.352
55	07/26/19 10:30:00 PM	29.352
56	07/26/19 10:35:00 PM	29.352
57	07/26/19 10:40:00 PM	29.352
58	07/26/19 10:45:00 PM	29.252
59	07/26/19 10:50:00 PM	29.252
60	07/26/19 10:55:00 PM	29.252
61	07/26/19 11:00:00 PM	29.352
62	07/26/19 11:05:00 PM	29.352
63	07/26/19 11:10:00 PM	29.352
64	07/26/19 11:15:00 PM	29.252
65	07/26/19 11:20:00 PM	29.252
66	07/26/19 11:25:00 PM	29.352
67	07/26/19 11:30:00 PM	29.352
68	07/26/19 11:35:00 PM	29.352
69	07/26/19 11:40:00 PM	29.352
70	07/26/19 11:45:00 PM	29.352
71	07/26/19 11:50:00 PM	29.352
72	07/26/19 11:55:00 PM	29.252
73	07/27/19 12:00:00 AM	29.252
74	07/27/19 12:05:00 AM	29.252
75	07/27/19 12:10:00 AM	29.352
76	07/27/19 12:15:00 AM	29.352
77	07/27/19 12:20:00 AM	29.352
78	07/27/19 12:25:00 AM	29.352
79	07/27/19 12:30:00 AM	29.352
80	07/27/19 12:35:00 AM	29.252
81	07/27/19 12:40:00 AM	29.252
82	07/27/19 12:45:00 AM	29.352
83	07/27/19 12:50:00 AM	29.352
84	07/27/19 12:55:00 AM	29.352
