RecNum	DateTime	KAUST_LT_Tank12-F36.5B
106	07/27/19 02:45:00 AM	29.452
107	07/27/19 02:50:00 AM	29.352
108	07/27/19 02:55:00 AM	29.452
109	07/27/19 03:00:00 AM	29.452
110	07/27/19 03:05:00 AM	29.452
111	07/27/19 03:10:00 AM	29.452
112	07/27/19 03:15:00 AM	29.452
113	07/27/19 03:20:00 AM	29.452
114	07/27/19 03:25:00 AM	29.452
115	07/27/19 03:30:00 AM	29.452
116	07/27/19 03:35:00 AM	29.452
117	07/27/19 03:40:00 AM	29.452
118	07/27/19 03:45:00 AM	29.452
119	07/27/19 03:50:00 AM	29.552
120	07/27/19 03:55:00 AM	29.452
121	07/27/19 04:00:00 AM	29.452
122	07/27/19 04:05:00 AM	29.452
123	07/27/19 04:10:00 AM	29.452
124	07/27/19 04:15:00 AM	29.452
125	07/27/19 04:20:00 AM	29.452
126	07/27/19 04:25:00 AM	29.452
127	07/27/19 04:30:00 AM	29.452
128	07/27/19 04:35:00 AM	29.452
129	07/27/19 04:40:00 AM	29.452
130	07/27/19 04:45:00 AM	29.452
131	07/27/19 04:50:00 AM	29.352
132	07/27/19 04:55:00 AM	29.452
133	07/27/19 05:00:00 AM	29.452
134	07/27/19 05:05:00 AM	29.452
135	07/27/19 05:10:00 AM	29.452
136	07/27/19 05:15:00 AM	29.452
137	07/27/19 05:20:00 AM	29.452
138	07/27/19 05:25:00 AM	29.352
139	07/27/19 05:30:00 AM	29.352
140	07/27/19 05:35:00 AM	29.352
141	07/27/19 05:40:00 AM	29.352
142	07/27/19 05:45:00 AM	29.452
143	07/27/19 05:50:00 AM	29.452
144	07/27/19 05:55:00 AM	29.452
145	07/27/19 06:00:00 AM	29.452
146	07/27/19 06:05:00 AM	29.452
147	07/27/19 06:10:00 AM	29.452
148	07/27/19 06:15:00 AM	29.452
149	07/27/19 06:20:00 AM	29.452
150	07/27/19 06:25:00 AM	29.452
151	07/27/19 06:30:00 AM	29.352
152	07/27/19 06:35:00 AM	29.352
153	07/27/19 06:40:00 AM	29.352
154	07/27/19 06:45:00 AM	29.352
155	07/27/19 06:50:00 AM	29.352
156	07/27/19 06:55:00 AM	29.452
157	07/27/19 07:00:00 AM	29.352
158	07/27/19 07:05:00 AM	29.352
159	07/27/19 07:10:00 AM	29.352
160	07/27/19 07:15:00 AM	29.352
161	07/27/19 07:20:00 AM	29.252
162	07/27/19 07:25:00 AM	29.352
163	07/27/19 07:30:00 AM	29.352
164	07/27/19 07:35:00 AM	29.352
165	07/27/19 07:40:00 AM	29.352
166	07/27/19 07:45:00 AM	29.252
167	07/27/19 07:50:00 AM	29.252
168	07/27/19 07:55:00 AM	29.252
169	07/27/19 08:00:00 AM	29.252
170	07/27/19 08:05:00 AM	29.252
171	07/27/19 08:10:00 AM	29.352
172	07/27/19 08:15:00 AM	29.352
173	07/27/19 08:20:00 AM	29.352
174	07/27/19 08:25:00 AM	29.252
175	07/27/19 08:30:00 AM	29.252
176	07/27/19 08:35:00 AM	29.252
177	07/27/19 08:40:00 AM	29.252
178	07/27/19 08:45:00 AM	29.252
179	07/27/19 08:50:00 AM	29.252
180	07/27/19 08:55:00 AM	29.252
181	07/27/19 09:00:00 AM	29.252
182	07/27/19 09:05:00 AM	29.352
183	07/27/19 09:10:00 AM	29.352
184	07/27/19 09:15:00 AM	29.252
185	07/27/19 09:20:00 AM	29.252
186	07/27/19 09:25:00 AM	29.252
187	07/27/19 09:30:00 AM	29.352
188	07/27/19 09:35:00 AM	29.352
189	07/27/19 09:40:00 AM	29.352
190	07/27/19 09:45:00 AM	29.352
191	07/27/19 09:50:00 AM	29.352
192	07/27/19 09:55:00 AM	29.252
193	07/27/19 10:00:00 AM	29.252
194	07/27/19 10:05:00 AM	29.252
195	07/27/19 10:10:00 AM	29.252
196	07/27/19 10:15:00 AM	29.352
197	07/27/19 10:20:00 AM	29.352
198	07/27/19 10:25:00 AM	29.352
199	07/27/19 10:30:00 AM	29.352
200	07/27/19 10:35:00 AM	29.252
201	07/27/19 10:40:00 AM	29.252
202	07/27/19 10:45:00 AM	29.252
203	07/27/19 10:50:00 AM	29.352
204	07/27/19 10:55:00 AM	29.352
205	07/27/19 11:00:00 AM	29.252
206	07/27/19 11:05:00 AM	29.352
207	07/27/19 11:10:00 AM	29.352
208	07/27/19 11:15:00 AM	29.352
209	07/27/19 11:20:00 AM	29.352
210	07/27/19 11:25:00 AM	29.352
211	07/27/19 11:30:00 AM	29.352
212	07/27/19 11:35:00 AM	29.352
213	07/27/19 11:40:00 AM	29.352
214	07/27/19 11:45:00 AM	29.352
215	07/27/19 11:50:00 AM	29.352
216	07/27/19 11:55:00 AM	29.352
217	07/27/19 12:00:00 PM	29.352
218	07/27/19 12:05:00 PM	29.252
219	07/27/19 12:10:00 PM	29.252
220	07/27/19 12:15:00 PM	29.352
221	07/27/19 12:20:00 PM	29.352
222	07/27/19 12:25:00 PM	29.452
223	07/27/19 12:30:00 PM	29.452
224	07/27/19 12:35:00 PM	29.352
225	07/27/19 12:40:00 PM	29.352
226	07/27/19 12:45:00 PM	29.352
227	07/27/19 12:50:00 PM	29.352
228	07/27/19 12:55:00 PM	29.352
229	07/27/19 01:00:00 PM	29.452
230	07/27/19 01:05:00 PM	29.452
231	07/27/19 01:10:00 PM	29.552
