RecNum	DateTime	KAUST_LT_Tank11-F36.5A
1	07/26/19 06:00:00 PM	29.652
2	07/26/19 06:05:00 PM	29.652
3	07/26/19 06:10:00 PM	29.752
4	07/26/19 06:15:00 PM	29.752
5	07/26/19 06:20:00 PM	29.853
6	07/26/19 06:25:00 PM	29.853
7	07/26/19 06:30:00 PM	29.953
8	07/26/19 06:35:00 PM	29.953
9	07/26/19 06:40:00 PM	29.953
10	07/26/19 06:45:00 PM	30.054
11	07/26/19 06:50:00 PM	30.054
12	07/26/19 06:55:00 PM	30.054
13	07/26/19 07:00:00 PM	30.154
14	07/26/19 07:05:00 PM	30.154
15	07/26/19 07:10:00 PM	30.154
16	07/26/19 07:15:00 PM	30.154
17	07/26/19 07:20:00 PM	30.255
18	07/26/19 07:25:00 PM	30.255
19	07/26/19 07:30:00 PM	30.255
20	07/26/19 07:35:00 PM	30.255
21	07/26/19 07:40:00 PM	30.356
22	07/26/19 07:45:00 PM	30.356
23	07/26/19 07:50:00 PM	30.356
24	07/26/19 07:55:00 PM	30.356
25	07/26/19 08:00:00 PM	30.356
26	07/26/19 08:05:00 PM	30.356
27	07/26/19 08:10:00 PM	30.356
28	07/26/19 08:15:00 PM	30.457
29	07/26/19 08:20:00 PM	30.457
30	07/26/19 08:25:00 PM	30.457
31	07/26/19 08:30:00 PM	30.457
32	07/26/19 08:35:00 PM	30.457
33	07/26/19 08:40:00 PM	30.457
34	07/26/19 08:45:00 PM	30.356
35	07/26/19 08:50:00 PM	30.457
36	07/26/19 08:55:00 PM	30.457
37	07/26/19 09:00:00 PM	30.457
38	07/26/19 09:05:00 PM	30.457
39	07/26/19 09:10:00 PM	30.457
40	07/26/19 09:15:00 PM	30.457
41	07/26/19 09:20:00 PM	30.457
42	07/26/19 09:25:00 PM	30.457
43	07/26/19 09:30:00 PM	30.457
44	07/26/19 09:35:00 PM	30.457
45	07/26/19 09:40:00 PM	30.457
46	07/26/19 09:45:00 PM	30.457
47	07/26/19 09:50:00 PM	30.457
48	07/26/19 09:55:00 PM	30.457
49	07/26/19 10:00:00 PM	30.457
50	07/26/19 10:05:00 PM	30.457
51	07/26/19 10:10:00 PM	30.558
52	07/26/19 10:15:00 PM	30.558
53	07/26/19 10:20:00 PM	30.558
54	07/26/19 10:25:00 PM	30.558
55	07/26/19 10:30:00 PM	30.558
56	07/26/19 10:35:00 PM	30.558
57	07/26/19 10:40:00 PM	30.558
58	07/26/19 10:45:00 PM	30.558
59	07/26/19 10:50:00 PM	30.558
60	07/26/19 10:55:00 PM	30.558
61	07/26/19 11:00:00 PM	30.558
62	07/26/19 11:05:00 PM	30.558
63	07/26/19 11:10:00 PM	30.558
64	07/26/19 11:15:00 PM	30.558
65	07/26/19 11:20:00 PM	30.558
66	07/26/19 11:25:00 PM	30.558
