RecNum	DateTime	KAUST_LT_Tank5-S36.5A
1	07/26/19 06:00:00 PM	29.152
2	07/26/19 06:05:00 PM	29.252
3	07/26/19 06:10:00 PM	29.252
4	07/26/19 06:15:00 PM	29.352
5	07/26/19 06:20:00 PM	29.452
6	07/26/19 06:25:00 PM	29.552
7	07/26/19 06:30:00 PM	29.552
8	07/26/19 06:35:00 PM	29.552
9	07/26/19 06:40:00 PM	29.552
10	07/26/19 06:45:00 PM	29.652
11	07/26/19 06:50:00 PM	29.652
12	07/26/19 06:55:00 PM	29.652
13	07/26/19 07:00:00 PM	29.752
14	07/26/19 07:05:00 PM	29.752
15	07/26/19 07:10:00 PM	29.752
16	07/26/19 07:15:00 PM	29.752
17	07/26/19 07:20:00 PM	29.752
18	07/26/19 07:25:00 PM	29.853
19	07/26/19 07:30:00 PM	29.853
20	07/26/19 07:35:00 PM	29.853
21	07/26/19 07:40:00 PM	29.953
22	07/26/19 07:45:00 PM	29.953
23	07/26/19 07:50:00 PM	29.953
24	07/26/19 07:55:00 PM	29.953
25	07/26/19 08:00:00 PM	29.853
26	07/26/19 08:05:00 PM	29.953
27	07/26/19 08:10:00 PM	29.953
28	07/26/19 08:15:00 PM	30.054
29	07/26/19 08:20:00 PM	30.054
30	07/26/19 08:25:00 PM	30.054
31	07/26/19 08:30:00 PM	30.054
32	07/26/19 08:35:00 PM	29.953
33	07/26/19 08:40:00 PM	29.953
34	07/26/19 08:45:00 PM	29.953
35	07/26/19 08:50:00 PM	29.953
36	07/26/19 08:55:00 PM	30.054
37	07/26/19 09:00:00 PM	30.054
38	07/26/19 09:05:00 PM	30.054
39	07/26/19 09:10:00 PM	30.054
40	07/26/19 09:15:00 PM	30.054
41	07/26/19 09:20:00 PM	30.054
42	07/26/19 09:25:00 PM	30.054
43	07/26/19 09:30:00 PM	30.054
44	07/26/19 09:35:00 PM	30.054
45	07/26/19 09:40:00 PM	30.054
46	07/26/19 09:45:00 PM	30.054
47	07/26/19 09:50:00 PM	30.054
48	07/26/19 09:55:00 PM	30.054
49	07/26/19 10:00:00 PM	30.054
50	07/26/19 10:05:00 PM	30.054
51	07/26/19 10:10:00 PM	30.054
52	07/26/19 10:15:00 PM	30.054
53	07/26/19 10:20:00 PM	30.054
54	07/26/19 10:25:00 PM	30.054
55	07/26/19 10:30:00 PM	30.154
56	07/26/19 10:35:00 PM	30.154
57	07/26/19 10:40:00 PM	30.054
58	07/26/19 10:45:00 PM	30.054
59	07/26/19 10:50:00 PM	30.054
60	07/26/19 10:55:00 PM	30.054
61	07/26/19 11:00:00 PM	30.054
62	07/26/19 11:05:00 PM	30.154
63	07/26/19 11:10:00 PM	30.054
64	07/26/19 11:15:00 PM	30.054
65	07/26/19 11:20:00 PM	30.054
66	07/26/19 11:25:00 PM	30.054
67	07/26/19 11:30:00 PM	30.154
68	07/26/19 11:35:00 PM	30.154
69	07/26/19 11:40:00 PM	30.154
70	07/26/19 11:45:00 PM	30.054
71	07/26/19 11:50:00 PM	30.054
72	07/26/19 11:55:00 PM	30.054
73	07/27/19 12:00:00 AM	30.054
74	07/27/19 12:05:00 AM	30.054
75	07/27/19 12:10:00 AM	30.054
76	07/27/19 12:15:00 AM	30.154
77	07/27/19 12:20:00 AM	30.154
78	07/27/19 12:25:00 AM	30.154
79	07/27/19 12:30:00 AM	30.154
80	07/27/19 12:35:00 AM	30.054
81	07/27/19 12:40:00 AM	30.054
82	07/27/19 12:45:00 AM	30.154
83	07/27/19 12:50:00 AM	30.154
84	07/27/19 12:55:00 AM	30.154
85	07/27/19 01:00:00 AM	30.154
86	07/27/19 01:05:00 AM	30.154
87	07/27/19 01:10:00 AM	30.154
