RecNum	DateTime	KAUST_LT_Tank1-S33.5A
152	07/27/19 06:35:00 AM	29.752
153	07/27/19 06:40:00 AM	29.853
154	07/27/19 06:45:00 AM	29.853
155	07/27/19 06:50:00 AM	29.853
156	07/27/19 06:55:00 AM	29.853
157	07/27/19 07:00:00 AM	29.853
158	07/27/19 07:05:00 AM	29.853
159	07/27/19 07:10:00 AM	29.752
160	07/27/19 07:15:00 AM	29.853
161	07/27/19 07:20:00 AM	29.752
162	07/27/19 07:25:00 AM	29.853
163	07/27/19 07:30:00 AM	29.853
164	07/27/19 07:35:00 AM	29.853
165	07/27/19 07:40:00 AM	29.853
166	07/27/19 07:45:00 AM	29.752
167	07/27/19 07:50:00 AM	29.853
168	07/27/19 07:55:00 AM	29.853
169	07/27/19 08:00:00 AM	29.853
170	07/27/19 08:05:00 AM	29.853
171	07/27/19 08:10:00 AM	29.853
172	07/27/19 08:15:00 AM	29.853
173	07/27/19 08:20:00 AM	29.853
174	07/27/19 08:25:00 AM	29.853
175	07/27/19 08:30:00 AM	29.853
176	07/27/19 08:35:00 AM	29.853
177	07/27/19 08:40:00 AM	29.853
178	07/27/19 08:45:00 AM	29.853
179	07/27/19 08:50:00 AM	29.853
180	07/27/19 08:55:00 AM	29.853
181	07/27/19 09:00:00 AM	29.853
182	07/27/19 09:05:00 AM	29.853
183	07/27/19 09:10:00 AM	29.853
184	07/27/19 09:15:00 AM	29.853
185	07/27/19 09:20:00 AM	29.853
186	07/27/19 09:25:00 AM	29.853
187	07/27/19 09:30:00 AM	29.853
188	07/27/19 09:35:00 AM	29.853
189	07/27/19 09:40:00 AM	29.853
190	07/27/19 09:45:00 AM	29.853
191	07/27/19 09:50:00 AM	29.853
192	07/27/19 09:55:00 AM	29.853
193	07/27/19 10:00:00 AM	29.853
194	07/27/19 10:05:00 AM	29.853
195	07/27/19 10:10:00 AM	29.853
196	07/27/19 10:15:00 AM	29.853
197	07/27/19 10:20:00 AM	29.853
198	07/27/19 10:25:00 AM	29.853
199	07/27/19 10:30:00 AM	29.853
200	07/27/19 10:35:00 AM	29.853
201	07/27/19 10:40:00 AM	29.853
202	07/27/19 10:45:00 AM	29.853
203	07/27/19 10:50:00 AM	29.853
204	07/27/19 10:55:00 AM	29.853
205	07/27/19 11:00:00 AM	29.853
206	07/27/19 11:05:00 AM	29.853
207	07/27/19 11:10:00 AM	29.853
208	07/27/19 11:15:00 AM	29.853
