RecNum	DateTime	KAUST_LT_Tank13-Control_32A
1	07/26/19 06:00:00 PM	28.655
2	07/26/19 06:05:00 PM	28.754
3	07/26/19 06:10:00 PM	28.754
4	07/26/19 06:15:00 PM	28.853
5	07/26/19 06:20:00 PM	28.953
6	07/26/19 06:25:00 PM	29.053
7	07/26/19 06:30:00 PM	29.152
8	07/26/19 06:35:00 PM	29.252
9	07/26/19 06:40:00 PM	29.252
10	07/26/19 06:45:00 PM	29.352
11	07/26/19 06:50:00 PM	29.452
12	07/26/19 06:55:00 PM	29.452
13	07/26/19 07:00:00 PM	29.552
14	07/26/19 07:05:00 PM	29.652
15	07/26/19 07:10:00 PM	29.652
16	07/26/19 07:15:00 PM	29.752
17	07/26/19 07:20:00 PM	29.752
18	07/26/19 07:25:00 PM	29.853
19	07/26/19 07:30:00 PM	29.853
20	07/26/19 07:35:00 PM	29.953
21	07/26/19 07:40:00 PM	29.953
22	07/26/19 07:45:00 PM	30.054
23	07/26/19 07:50:00 PM	30.054
24	07/26/19 07:55:00 PM	30.054
25	07/26/19 08:00:00 PM	30.154
26	07/26/19 08:05:00 PM	30.154
27	07/26/19 08:10:00 PM	30.154
28	07/26/19 08:15:00 PM	30.255
29	07/26/19 08:20:00 PM	30.255
30	07/26/19 08:25:00 PM	30.255
31	07/26/19 08:30:00 PM	30.356
32	07/26/19 08:35:00 PM	30.356
33	07/26/19 08:40:00 PM	30.356
34	07/26/19 08:45:00 PM	30.356
35	07/26/19 08:50:00 PM	30.356
36	07/26/19 08:55:00 PM	30.457
37	07/26/19 09:00:00 PM	30.457
38	07/26/19 09:05:00 PM	30.457
39	07/26/19 09:10:00 PM	30.457
40	07/26/19 09:15:00 PM	30.457
41	07/26/19 09:20:00 PM	30.558
42	07/26/19 09:25:00 PM	30.558
43	07/26/19 09:30:00 PM	30.558
44	07/26/19 09:35:00 PM	30.558
45	07/26/19 09:40:00 PM	30.558
46	07/26/19 09:45:00 PM	30.558
47	07/26/19 09:50:00 PM	30.558
48	07/26/19 09:55:00 PM	30.558
49	07/26/19 10:00:00 PM	30.558
50	07/26/19 10:05:00 PM	30.659
51	07/26/19 10:10:00 PM	30.659
52	07/26/19 10:15:00 PM	30.659
53	07/26/19 10:20:00 PM	30.659
54	07/26/19 10:25:00 PM	30.659
55	07/26/19 10:30:00 PM	30.659
56	07/26/19 10:35:00 PM	30.558
57	07/26/19 10:40:00 PM	30.457
58	07/26/19 10:45:00 PM	30.457
59	07/26/19 10:50:00 PM	30.457
60	07/26/19 10:55:00 PM	30.457
61	07/26/19 11:00:00 PM	30.558
62	07/26/19 11:05:00 PM	30.558
63	07/26/19 11:10:00 PM	30.558
64	07/26/19 11:15:00 PM	30.558
65	07/26/19 11:20:00 PM	30.558
66	07/26/19 11:25:00 PM	30.558
67	07/26/19 11:30:00 PM	30.558
68	07/26/19 11:35:00 PM	30.659
69	07/26/19 11:40:00 PM	30.659
70	07/26/19 11:45:00 PM	30.659
71	07/26/19 11:50:00 PM	30.659
72	07/26/19 11:55:00 PM	30.659
73	07/27/19 12:00:00 AM	30.659
74	07/27/19 12:05:00 AM	30.659
75	07/27/19 12:10:00 AM	30.659
76	07/27/19 12:15:00 AM	30.659
77	07/27/19 12:20:00 AM	30.558
78	07/27/19 12:25:00 AM	30.457
79	07/27/19 12:30:00 AM	30.457
80	07/27/19 12:35:00 AM	30.457
81	07/27/19 12:40:00 AM	30.457
82	07/27/19 12:45:00 AM	30.558
83	07/27/19 12:50:00 AM	30.558
84	07/27/19 12:55:00 AM	30.558
85	07/27/19 01:00:00 AM	30.558
86	07/27/19 01:05:00 AM	30.558
87	07/27/19 01:10:00 AM	30.558
88	07/27/19 01:15:00 AM	30.558
89	07/27/19 01:20:00 AM	30.558
90	07/27/19 01:25:00 AM	30.659
91	07/27/19 01:30:00 AM	30.659
92	07/27/19 01:35:00 AM	30.659
93	07/27/19 01:40:00 AM	30.659
94	07/27/19 01:45:00 AM	30.659
95	07/27/19 01:50:00 AM	30.659
96	07/27/19 01:55:00 AM	30.558
97	07/27/19 02:00:00 AM	30.457
98	07/27/19 02:05:00 AM	30.457
99	07/27/19 02:10:00 AM	30.457
100	07/27/19 02:15:00 AM	30.457
101	07/27/19 02:20:00 AM	30.558
102	07/27/19 02:25:00 AM	30.558
103	07/27/19 02:30:00 AM	30.558
104	07/27/19 02:35:00 AM	30.558
105	07/27/19 02:40:00 AM	30.558
106	07/27/19 02:45:00 AM	30.558
107	07/27/19 02:50:00 AM	30.558
108	07/27/19 02:55:00 AM	30.659
109	07/27/19 03:00:00 AM	30.659
110	07/27/19 03:05:00 AM	30.659
111	07/27/19 03:10:00 AM	30.659
112	07/27/19 03:15:00 AM	30.558
113	07/27/19 03:20:00 AM	30.457
114	07/27/19 03:25:00 AM	30.457
115	07/27/19 03:30:00 AM	30.457
116	07/27/19 03:35:00 AM	30.457
117	07/27/19 03:40:00 AM	30.558
118	07/27/19 03:45:00 AM	30.558
119	07/27/19 03:50:00 AM	30.558
120	07/27/19 03:55:00 AM	30.558
121	07/27/19 04:00:00 AM	30.558
122	07/27/19 04:05:00 AM	30.558
123	07/27/19 04:10:00 AM	30.558
124	07/27/19 04:15:00 AM	30.659
125	07/27/19 04:20:00 AM	30.659
126	07/27/19 04:25:00 AM	30.659
127	07/27/19 04:30:00 AM	30.659
128	07/27/19 04:35:00 AM	30.659
129	07/27/19 04:40:00 AM	30.659
130	07/27/19 04:45:00 AM	30.659
131	07/27/19 04:50:00 AM	30.659
132	07/27/19 04:55:00 AM	30.659
133	07/27/19 05:00:00 AM	30.558
134	07/27/19 05:05:00 AM	30.457
135	07/27/19 05:10:00 AM	30.457
136	07/27/19 05:15:00 AM	30.457
137	07/27/19 05:20:00 AM	30.457
138	07/27/19 05:25:00 AM	30.457
139	07/27/19 05:30:00 AM	30.457
140	07/27/19 05:35:00 AM	30.558
141	07/27/19 05:40:00 AM	30.558
142	07/27/19 05:45:00 AM	30.558
143	07/27/19 05:50:00 AM	30.558
144	07/27/19 05:55:00 AM	30.558
145	07/27/19 06:00:00 AM	30.558
146	07/27/19 06:05:00 AM	30.659
147	07/27/19 06:10:00 AM	30.659
148	07/27/19 06:15:00 AM	30.659
149	07/27/19 06:20:00 AM	30.659
150	07/27/19 06:25:00 AM	30.659
151	07/27/19 06:30:00 AM	30.659
152	07/27/19 06:35:00 AM	30.659
153	07/27/19 06:40:00 AM	30.659
154	07/27/19 06:45:00 AM	30.659
155	07/27/19 06:50:00 AM	30.659
156	07/27/19 06:55:00 AM	30.558
157	07/27/19 07:00:00 AM	30.457
158	07/27/19 07:05:00 AM	30.457
159	07/27/19 07:10:00 AM	30.457
160	07/27/19 07:15:00 AM	30.457
161	07/27/19 07:20:00 AM	30.457
162	07/27/19 07:25:00 AM	30.558
163	07/27/19 07:30:00 AM	30.558
164	07/27/19 07:35:00 AM	30.558
165	07/27/19 07:40:00 AM	30.558
166	07/27/19 07:45:00 AM	30.558
167	07/27/19 07:50:00 AM	30.659
168	07/27/19 07:55:00 AM	30.659
169	07/27/19 08:00:00 AM	30.659
170	07/27/19 08:05:00 AM	30.659
171	07/27/19 08:10:00 AM	30.659
172	07/27/19 08:15:00 AM	30.659
173	07/27/19 08:20:00 AM	30.558
174	07/27/19 08:25:00 AM	30.558
175	07/27/19 08:30:00 AM	30.457
176	07/27/19 08:35:00 AM	30.457
177	07/27/19 08:40:00 AM	30.457
178	07/27/19 08:45:00 AM	30.457
179	07/27/19 08:50:00 AM	30.558
180	07/27/19 08:55:00 AM	30.558
181	07/27/19 09:00:00 AM	30.558
182	07/27/19 09:05:00 AM	30.558
183	07/27/19 09:10:00 AM	30.659
184	07/27/19 09:15:00 AM	30.558
185	07/27/19 09:20:00 AM	30.659
186	07/27/19 09:25:00 AM	30.659
187	07/27/19 09:30:00 AM	30.659
188	07/27/19 09:35:00 AM	30.659
189	07/27/19 09:40:00 AM	30.659
190	07/27/19 09:45:00 AM	30.558
191	07/27/19 09:50:00 AM	30.457
192	07/27/19 09:55:00 AM	30.457
193	07/27/19 10:00:00 AM	30.457
194	07/27/19 10:05:00 AM	30.457
195	07/27/19 10:10:00 AM	30.558
196	07/27/19 10:15:00 AM	30.558
197	07/27/19 10:20:00 AM	30.558
198	07/27/19 10:25:00 AM	30.558
199	07/27/19 10:30:00 AM	30.659
200	07/27/19 10:35:00 AM	30.659
201	07/27/19 10:40:00 AM	30.659
202	07/27/19 10:45:00 AM	30.659
203	07/27/19 10:50:00 AM	30.659
204	07/27/19 10:55:00 AM	30.659
205	07/27/19 11:00:00 AM	30.558
206	07/27/19 11:05:00 AM	30.457
207	07/27/19 11:10:00 AM	30.457
208	07/27/19 11:15:00 AM	30.558
209	07/27/19 11:20:00 AM	30.558
210	07/27/19 11:25:00 AM	30.558
211	07/27/19 11:30:00 AM	30.558
212	07/27/19 11:35:00 AM	30.558
213	07/27/19 11:40:00 AM	30.558
214	07/27/19 11:45:00 AM	30.659
215	07/27/19 11:50:00 AM	30.659
216	07/27/19 11:55:00 AM	30.659
217	07/27/19 12:00:00 PM	30.659
218	07/27/19 12:05:00 PM	30.659
219	07/27/19 12:10:00 PM	30.659
220	07/27/19 12:15:00 PM	30.659
221	07/27/19 12:20:00 PM	30.558
222	07/27/19 12:25:00 PM	30.558
223	07/27/19 12:30:00 PM	30.457
224	07/27/19 12:35:00 PM	30.457
225	07/27/19 12:40:00 PM	30.457
226	07/27/19 12:45:00 PM	30.457
227	07/27/19 12:50:00 PM	30.558
228	07/27/19 12:55:00 PM	30.558
229	07/27/19 01:00:00 PM	30.558
230	07/27/19 01:05:00 PM	30.659
231	07/27/19 01:10:00 PM	30.659
232	07/27/19 01:15:00 PM	30.659
233	07/27/19 01:20:00 PM	30.659
234	07/27/19 01:25:00 PM	30.659
235	07/27/19 01:30:00 PM	30.558
236	07/27/19 01:35:00 PM	30.558
237	07/27/19 01:40:00 PM	30.457
238	07/27/19 01:45:00 PM	30.457
239	07/27/19 01:50:00 PM	30.457
240	07/27/19 01:55:00 PM	30.558
241	07/27/19 02:00:00 PM	30.558
242	07/27/19 02:05:00 PM	30.558
243	07/27/19 02:10:00 PM	30.659
244	07/27/19 02:15:00 PM	30.659
245	07/27/19 02:20:00 PM	30.659
246	07/27/19 02:25:00 PM	30.659
247	07/27/19 02:30:00 PM	30.659
248	07/27/19 02:35:00 PM	30.659
249	07/27/19 02:40:00 PM	30.659
250	07/27/19 02:45:00 PM	30.659
251	07/27/19 02:50:00 PM	30.558
252	07/27/19 02:55:00 PM	30.457
253	07/27/19 03:00:00 PM	30.457
254	07/27/19 03:05:00 PM	30.457
255	07/27/19 03:10:00 PM	30.558
256	07/27/19 03:15:00 PM	30.558
257	07/27/19 03:20:00 PM	30.558
258	07/27/19 03:25:00 PM	30.558
259	07/27/19 03:30:00 PM	30.558
260	07/27/19 03:35:00 PM	30.659
261	07/27/19 03:40:00 PM	30.659
262	07/27/19 03:45:00 PM	30.659
263	07/27/19 03:50:00 PM	30.659
264	07/27/19 03:55:00 PM	30.659
265	07/27/19 04:00:00 PM	30.558
266	07/27/19 04:05:00 PM	30.457
267	07/27/19 04:10:00 PM	30.457
268	07/27/19 04:15:00 PM	30.558
269	07/27/19 04:20:00 PM	30.558
270	07/27/19 04:25:00 PM	30.558
271	07/27/19 04:30:00 PM	30.558
272	07/27/19 04:35:00 PM	30.558
273	07/27/19 04:40:00 PM	30.558
274	07/27/19 04:45:00 PM	30.659
275	07/27/19 04:50:00 PM	30.659
276	07/27/19 04:55:00 PM	30.659
277	07/27/19 05:00:00 PM	30.659
278	07/27/19 05:05:00 PM	30.558
279	07/27/19 05:10:00 PM	30.457
280	07/27/19 05:15:00 PM	30.457
281	07/27/19 05:20:00 PM	30.457
282	07/27/19 05:25:00 PM	30.558
283	07/27/19 05:30:00 PM	30.558
284	07/27/19 05:35:00 PM	30.558
285	07/27/19 05:40:00 PM	30.558
286	07/27/19 05:45:00 PM	30.659
287	07/27/19 05:50:00 PM	30.659
288	07/27/19 05:55:00 PM	30.659
289	07/27/19 06:00:00 PM	30.659
290	07/27/19 06:05:00 PM	30.659
291	07/27/19 06:10:00 PM	30.659
292	07/27/19 06:15:00 PM	30.558
293	07/27/19 06:20:00 PM	30.558
294	07/27/19 06:25:00 PM	30.457
295	07/27/19 06:30:00 PM	30.457
296	07/27/19 06:35:00 PM	30.457
297	07/27/19 06:40:00 PM	30.457
298	07/27/19 06:45:00 PM	30.558
299	07/27/19 06:50:00 PM	30.558
300	07/27/19 06:55:00 PM	30.558
301	07/27/19 07:00:00 PM	30.659
302	07/27/19 07:05:00 PM	30.862
303	07/27/19 07:10:00 PM	31.064
304	07/27/19 07:15:00 PM	31.166
305	07/27/19 07:20:00 PM	31.370
306	07/27/19 07:25:00 PM	31.574
307	07/27/19 07:30:00 PM	31.676
308	07/27/19 07:35:00 PM	31.880
309	07/27/19 07:40:00 PM	31.983
310	07/27/19 07:45:00 PM	32.188
311	07/27/19 07:50:00 PM	32.291
312	07/27/19 07:55:00 PM	32.394
