RecNum	DateTime	KAUST_LT_Tank14-Control_32B
152	07/27/19 06:35:00 AM	30.457
153	07/27/19 06:40:00 AM	30.457
154	07/27/19 06:45:00 AM	30.457
155	07/27/19 06:50:00 AM	30.457
156	07/27/19 06:55:00 AM	30.457
157	07/27/19 07:00:00 AM	30.457
158	07/27/19 07:05:00 AM	30.457
159	07/27/19 07:10:00 AM	30.356
160	07/27/19 07:15:00 AM	30.457
161	07/27/19 07:20:00 AM	30.356
162	07/27/19 07:25:00 AM	30.457
163	07/27/19 07:30:00 AM	30.457
164	07/27/19 07:35:00 AM	30.457
165	07/27/19 07:40:00 AM	30.457
166	07/27/19 07:45:00 AM	30.356
167	07/27/19 07:50:00 AM	30.356
168	07/27/19 07:55:00 AM	30.356
169	07/27/19 08:00:00 AM	30.356
170	07/27/19 08:05:00 AM	30.356
171	07/27/19 08:10:00 AM	30.356
172	07/27/19 08:15:00 AM	30.356
173	07/27/19 08:20:00 AM	30.356
174	07/27/19 08:25:00 AM	30.356
175	07/27/19 08:30:00 AM	30.356
176	07/27/19 08:35:00 AM	30.356
177	07/27/19 08:40:00 AM	30.356
178	07/27/19 08:45:00 AM	30.356
179	07/27/19 08:50:00 AM	30.356
180	07/27/19 08:55:00 AM	30.356
181	07/27/19 09:00:00 AM	30.356
182	07/27/19 09:05:00 AM	30.356
183	07/27/19 09:10:00 AM	30.356
184	07/27/19 09:15:00 AM	30.356
185	07/27/19 09:20:00 AM	30.356
186	07/27/19 09:25:00 AM	30.356
187	07/27/19 09:30:00 AM	30.356
188	07/27/19 09:35:00 AM	30.356
189	07/27/19 09:40:00 AM	30.356
190	07/27/19 09:45:00 AM	30.356
191	07/27/19 09:50:00 AM	30.356
192	07/27/19 09:55:00 AM	30.356
193	07/27/19 10:00:00 AM	30.356
194	07/27/19 10:05:00 AM	30.356
195	07/27/19 10:10:00 AM	30.356
196	07/27/19 10:15:00 AM	30.356
197	07/27/19 10:20:00 AM	30.356
198	07/27/19 10:25:00 AM	30.356
199	07/27/19 10:30:00 AM	30.356
200	07/27/19 10:35:00 AM	30.356
201	07/27/19 10:40:00 AM	30.356
202	07/27/19 10:45:00 AM	30.356
203	07/27/19 10:50:00 AM	30.356
204	07/27/19 10:55:00 AM	30.356
205	07/27/19 11:00:00 AM	30.255
206	07/27/19 11:05:00 AM	30.356
207	07/27/19 11:10:00 AM	30.356
208	07/27/19 11:15:00 AM	30.356
209	07/27/19 11:20:00 AM	30.356
210	07/27/19 11:25:00 AM	30.356
211	07/27/19 11:30:00 AM	30.356
212	07/27/19 11:35:00 AM	30.356
213	07/27/19 11:40:00 AM	30.356
214	07/27/19 11:45:00 AM	30.356
215	07/27/19 11:50:00 AM	30.356
216	07/27/19 11:55:00 AM	30.356
217	07/27/19 12:00:00 PM	30.255
218	07/27/19 12:05:00 PM	30.356
219	07/27/19 12:10:00 PM	30.255
220	07/27/19 12:15:00 PM	30.356
221	07/27/19 12:20:00 PM	30.356
222	07/27/19 12:25:00 PM	30.356
223	07/27/19 12:30:00 PM	30.356
224	07/27/19 12:35:00 PM	30.356
225	07/27/19 12:40:00 PM	30.356
226	07/27/19 12:45:00 PM	30.356
227	07/27/19 12:50:00 PM	30.356
228	07/27/19 12:55:00 PM	30.356
229	07/27/19 01:00:00 PM	30.356
230	07/27/19 01:05:00 PM	30.457
231	07/27/19 01:10:00 PM	30.457
232	07/27/19 01:15:00 PM	30.457
233	07/27/19 01:20:00 PM	30.356
234	07/27/19 01:25:00 PM	30.356
235	07/27/19 01:30:00 PM	30.356
236	07/27/19 01:35:00 PM	30.457
237	07/27/19 01:40:00 PM	30.457
238	07/27/19 01:45:00 PM	30.457
239	07/27/19 01:50:00 PM	30.457
240	07/27/19 01:55:00 PM	30.356
241	07/27/19 02:00:00 PM	30.356
242	07/27/19 02:05:00 PM	30.457
243	07/27/19 02:10:00 PM	30.457
244	07/27/19 02:15:00 PM	30.457
245	07/27/19 02:20:00 PM	30.356
246	07/27/19 02:25:00 PM	30.356
247	07/27/19 02:30:00 PM	30.356
248	07/27/19 02:35:00 PM	30.356
249	07/27/19 02:40:00 PM	30.457
250	07/27/19 02:45:00 PM	30.457
251	07/27/19 02:50:00 PM	30.457
252	07/27/19 02:55:00 PM	30.457
253	07/27/19 03:00:00 PM	30.457
254	07/27/19 03:05:00 PM	30.457
255	07/27/19 03:10:00 PM	30.356
256	07/27/19 03:15:00 PM	30.356
257	07/27/19 03:20:00 PM	30.356
258	07/27/19 03:25:00 PM	30.356
259	07/27/19 03:30:00 PM	30.356
260	07/27/19 03:35:00 PM	30.356
261	07/27/19 03:40:00 PM	30.356
262	07/27/19 03:45:00 PM	30.457
