PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_1,25501,13,34,45,32.76,30.37,30.37,OFF,32.76,30.94,30.94,OFF,33.01,30.56,30.56,OFF,33.01,33.56,33.56,CHL,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_1,31154,13,34,50,32.76,30.37,30.37,HTR,32.76,30.94,30.94,HTR,33.01,30.56,30.56,HTR,33.01,33.56,33.56,CHL,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_1,36637,13,34,56,32.76,30.37,30.37,HTR,32.76,30.87,30.87,HTR,33.01,30.56,30.56,HTR,33.01,33.56,33.56,CHL,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_1,42123,13,35,1,32.76,30.37,30.37,HTR,32.76,30.87,30.87,HTR,33.01,30.56,30.56,HTR,33.01,33.63,33.63,CHL,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_1,47605,13,35,7,32.76,30.37,30.37,HTR,32.76,30.94,30.94,HTR,33.01,30.56,30.56,HTR,33.01,33.31,33.31,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_1,53087,13,35,12,32.76,30.37,30.37,HTR,32.76,30.94,30.94,HTR,33.01,30.56,30.56,HTR,33.01,31.62,31.62,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_1,58573,13,35,18,32.76,30.37,30.37,HTR,32.76,30.94,30.94,HTR,33.01,30.56,30.56,HTR,33.01,31.06,31.06,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_1,64056,13,35,23,32.89,30.37,30.37,HTR,32.89,31.00,31.00,HTR,33.18,30.56,30.56,HTR,33.18,30.81,30.81,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_1,69793,13,35,29,32.89,30.37,30.37,HTR,32.89,31.00,31.00,HTR,33.18,30.56,30.56,HTR,33.18,30.75,30.75,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_1,75276,13,35,34,32.89,30.37,30.37,HTR,32.89,31.00,31.00,HTR,33.18,30.56,30.56,HTR,33.18,30.69,30.69,HTR,
