Temp,Species,Colony,Population,Genotype,Replicate,Tank,Fo,Fm,FvFm,AbsTemp,heat32,load32,heat33,load33,heat34,load34,heat35,load35
35,Porites,4,Protected,Pro4,B,35B,912,1998,0.544,34.97272727,2.972727273,803.619974,1.972727273,475.7697316,0.972727273,208.5098528,0,3.535818182
35,Porites,5,Protected,Pro5,B,35B,363,899,0.596,34.97272727,2.972727273,803.619974,1.972727273,475.7697316,0.972727273,208.5098528,0,3.535818182
36.5,Porites,1,Exposed,Exp1,A,36.5A,374,530,0.294,36.40181818,4.401818182,1178.501366,3.401818182,863.2886385,2.401818182,564.8684004,1.401818182,306.6963788
36.5,Porites,2,Exposed,Exp2,A,36.5A,876,1318,0.335,36.40181818,4.401818182,1178.501366,3.401818182,863.2886385,2.401818182,564.8684004,1.401818182,306.6963788
36.5,Porites,3,Exposed,Exp3,A,36.5A,482,976,0.506,36.40181818,4.401818182,1178.501366,3.401818182,863.2886385,2.401818182,564.8684004,1.401818182,306.6963788
36.5,Porites,4,Exposed,Exp4,A,36.5A,397,962,0.587,36.40181818,4.401818182,1178.501366,3.401818182,863.2886385,2.401818182,564.8684004,1.401818182,306.6963788
36.5,Porites,5,Exposed,Exp5,A,36.5A,373,651,0.427,36.40181818,4.401818182,1178.501366,3.401818182,863.2886385,2.401818182,564.8684004,1.401818182,306.6963788
36.5,Porites,1,Protected,Pro1,A,36.5A,477,1073,0.555,36.40181818,4.401818182,1178.501366,3.401818182,863.2886385,2.401818182,564.8684004,1.401818182,306.6963788
36.5,Porites,2,Protected,Pro2,A,36.5A,624,1325,0.529,36.40181818,4.401818182,1178.501366,3.401818182,863.2886385,2.401818182,564.8684004,1.401818182,306.6963788
36.5,Porites,3,Protected,Pro3,A,36.5A,349,620,0.437,36.40181818,4.401818182,1178.501366,3.401818182,863.2886385,2.401818182,564.8684004,1.401818182,306.6963788
36.5,Porites,4,Protected,Pro4,A,36.5A,448,826,0.458,36.40181818,4.401818182,1178.501366,3.401818182,863.2886385,2.401818182,564.8684004,1.401818182,306.6963788
36.5,Porites,5,Protected,Pro5,A,36.5A,809,1510,0.464,36.40181818,4.401818182,1178.501366,3.401818182,863.2886385,2.401818182,564.8684004,1.401818182,306.6963788
36.5,Porites,1,Exposed,Exp1,B,36.5B,1019,1450,0.297,36.60454545,4.604545455,1185.973255,3.604545455,869.3950736,2.604545455,570.905539,1.604545455,312.5521429
36.5,Porites,2,Exposed,Exp2,B,36.5B,500,751,0.334,36.60454545,4.604545455,1185.973255,3.604545455,869.3950736,2.604545455,570.905539,1.604545455,312.5521429
36.5,Porites,3,Exposed,Exp3,B,36.5B,346,615,0.437,36.60454545,4.604545455,1185.973255,3.604545455,869.3950736,2.604545455,570.905539,1.604545455,312.5521429
36.5,Porites,4,Exposed,Exp4,B,36.5B,412,972,0.576,36.60454545,4.604545455,1185.973255,3.604545455,869.3950736,2.604545455,570.905539,1.604545455,312.5521429
36.5,Porites,5,Exposed,Exp5,B,36.5B,590,1155,0.489,36.60454545,4.604545455,1185.973255,3.604545455,869.3950736,2.604545455,570.905539,1.604545455,312.5521429
36.5,Porites,1,Protected,Pro1,B,36.5B,330,766,0.569,36.60454545,4.604545455,1185.973255,3.604545455,869.3950736,2.604545455,570.905539,1.604545455,312.5521429
36.5,Porites,2,Protected,Pro2,B,36.5B,610,1220,0.5,36.60454545,4.604545455,1185.973255,3.604545455,869.3950736,2.604545455,570.905539,1.604545455,312.5521429
36.5,Porites,3,Protected,Pro3,B,36.5B,421,927,0.546,36.60454545,4.604545455,1185.973255,3.604545455,869.3950736,2.604545455,570.905539,1.604545455,312.5521429
36.5,Porites,4,Protected,Pro4,B,36.5B,874,1489,0.413,36.60454545,4.604545455,1185.973255,3.604545455,869.3950736,2.604545455,570.905539,1.604545455,312.5521429
36.5,Porites,5,Protected,Pro5,B,36.5B,400,818,0.511,36.60454545,4.604545455,1185.973255,3.604545455,869.3950736,2.604545455,570.905539,1.604545455,312.5521429
38,Porites,1,Exposed,Exp1,A,38A,264,315,0.162,38.02181818,6.021818182,1560.937005,5.021818182,1244.857915,4.021818182,935.4186418,3.021818182,653.8885206
38,Porites,2,Exposed,Exp2,A,38A,156,312,0.5,38.02181818,6.021818182,1560.937005,5.021818182,1244.857915,4.021818182,935.4186418,3.021818182,653.8885206
