PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,29387,11,41,23,32.01,32.25,32.25,CHL,32.01,32.31,32.31,CHL,32.01,32.31,32.31,CHL,32.01,31.87,31.87,CHL,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,35039,11,41,28,32.01,32.31,32.31,CHL,32.01,32.31,32.31,CHL,32.01,32.25,32.25,HTR,32.01,31.87,31.87,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,40520,11,41,34,32.01,32.31,32.31,CHL,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,32.01,31.87,31.87,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,46004,11,41,39,32.01,32.31,32.31,CHL,32.01,32.31,32.31,CHL,32.01,32.31,32.31,CHL,32.01,31.87,31.87,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,51486,11,41,45,32.01,32.31,32.31,CHL,32.01,32.25,32.25,HTR,32.01,32.31,32.31,CHL,32.01,31.87,31.87,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,56967,11,41,50,32.01,32.31,-127.00,CHL,32.01,32.31,32.31,CHL,32.01,32.31,32.31,CHL,32.01,31.87,31.87,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,62441,11,41,56,32.01,32.31,32.31,CHL,32.01,32.25,32.25,HTR,32.01,32.31,32.31,CHL,32.01,31.87,31.87,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,68578,11,42,2,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,32.01,32.31,32.31,CHL,32.01,31.87,31.87,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,74058,11,42,7,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,32.01,32.31,32.31,CHL,32.01,31.87,31.87,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,79539,11,42,13,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,32.01,32.31,32.31,CHL,32.01,31.87,31.87,HTR,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,29521,11,42,45,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,32.01,32.31,32.31,CHL,32.01,31.94,31.94,CHL,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,35173,11,42,51,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,32.01,32.31,32.31,CHL,32.01,31.94,31.94,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,40657,11,42,56,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,32.01,32.31,32.31,CHL,32.01,31.94,31.94,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,46139,11,43,2,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,32.01,32.31,32.31,CHL,32.01,31.94,31.94,HTR,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,51619,11,43,7,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,32.01,32.31,32.31,CHL,32.01,32.00,32.00,CHL,
2019-07-30_TahalaAcroExpProt_5-8,2019_August_4,57103,11,43,13,32.01,32.31,32.31,CHL,32.01,32.25,-127.00,CHL,32.01,32.25,32.25,HTR,32.01,32.00,32.00,HTR,
